"date","conf","comment","s1"
"2010-08-30 24:00:00","",,1.6
"2010-09-29 24:00:00","",,1.9
"2010-10-30 24:00:00","",,1.9
"2010-11-29 24:00:00","",,1.9
"2010-12-30 24:00:00","",,2.2
"2011-01-30 24:00:00","","Implementation of HICP Regulation No. 33/2009 on the treatment of seasonal products in the HICPs of DE, EE, GR, FR, IT, CY, LU, MT, PT, SI, SK. The Regulation had particularly large impacts on clothing and footwear and to a lesser extent fruit and vegetables. In addition, NL implemented a new methodology for package holidays and air transport. These changes have a distorting impact on the annual rates of change in 2011.  See Box 3 in the April 2011 ECB Monthly Bulletin for details.",2.3
"2011-02-27 24:00:00","",,2.4
"2011-03-30 24:00:00","",,2.7
"2011-04-29 24:00:00","",,2.8
"2011-05-30 24:00:00","",,2.7
"2011-06-29 24:00:00","",,2.7
"2011-07-30 24:00:00","",,2.6
"2011-08-30 24:00:00","",,2.5
"2011-09-29 24:00:00","","Implementation of HICP Regulation No. 33/2009 on the treatment of seasonal products in the Austrian HICP.  See Box 3 in the April 2011 ECB Monthly Bulletin for details.",3
"2011-10-30 24:00:00","",,3
"2011-11-29 24:00:00","",,3
"2011-12-30 24:00:00","",,2.8
"2012-01-30 24:00:00","","Implementation of HICP Regulation No. 114/2010 on the quality of HICP weights in the HICPs of DE, IE, CY, LU, MT, AT, FI.  See Box 3 in the April 2012 ECB Monthly Bulletin for details.",2.7
"2012-02-28 24:00:00","",,2.7
"2012-03-30 24:00:00","",,2.7
"2012-04-29 24:00:00","",,2.6
"2012-05-30 24:00:00","",,2.4
"2012-06-29 24:00:00","",,2.4
"2012-07-30 24:00:00","",,2.4
"2012-08-30 24:00:00","",,2.6
"2012-09-29 24:00:00","",,2.6
"2012-10-30 24:00:00","",,2.5
"2012-11-29 24:00:00","",,2.2
"2012-12-30 24:00:00","",,2.2
"2013-01-30 24:00:00","",,2
"2013-02-27 24:00:00","",,1.9
"2013-03-30 24:00:00","",,1.7
"2013-04-29 24:00:00","",,1.2
"2013-05-30 24:00:00","",,1.4
"2013-06-29 24:00:00","",,1.6
"2013-07-30 24:00:00","",,1.6
"2013-08-30 24:00:00","",,1.3
"2013-09-29 24:00:00","",,1.1
"2013-10-30 24:00:00","",,0.7
"2013-11-29 24:00:00","",,0.9
"2013-12-30 24:00:00","",,0.8
"2014-01-30 24:00:00","",,0.8
"2014-02-27 24:00:00","",,0.7
"2014-03-30 24:00:00","",,0.5
"2014-04-29 24:00:00","",,0.7
"2014-05-30 24:00:00","",,0.5
"2014-06-29 24:00:00","",,0.5
"2014-07-30 24:00:00","",,0.4
"2014-08-30 24:00:00","",,0.4
"2014-09-29 24:00:00","",,0.3
"2014-10-30 24:00:00","",,0.4
"2014-11-29 24:00:00","",,0.3
"2014-12-30 24:00:00","",,-0.2
"2015-01-30 24:00:00","",,-0.6
"2015-02-27 24:00:00","",,-0.3
"2015-03-30 24:00:00","",,-0.1
"2015-04-29 24:00:00","",,0.2
"2015-05-30 24:00:00","",,0.6
"2015-06-29 24:00:00","",,0.5
"2015-07-30 24:00:00","",,0.5
"2015-08-30 24:00:00","",,0.4
"2015-09-29 24:00:00","",,0.2
"2015-10-30 24:00:00","",,0.4
"2015-11-29 24:00:00","",,0.1
"2015-12-30 24:00:00","",,0.3
"2016-01-30 24:00:00","",,0.3
"2016-02-28 24:00:00","",,-0.1
"2016-03-30 24:00:00","",,0
"2016-04-29 24:00:00","",,-0.3
"2016-05-30 24:00:00","",,-0.1
"2016-06-29 24:00:00","",,0
"2016-07-30 24:00:00","",,0.2
"2016-08-30 24:00:00","",,0.2
"2016-09-29 24:00:00","",,0.4
"2016-10-30 24:00:00","",,0.5
"2016-11-29 24:00:00","",,0.6
"2016-12-30 24:00:00","",,1.1
"2017-01-30 24:00:00","",,1.7
"2017-02-27 24:00:00","",,2
"2017-03-30 24:00:00","",,1.5
"2017-04-29 24:00:00","",,1.9
"2017-05-30 24:00:00","",,1.4
"2017-06-29 24:00:00","",,1.3
"2017-07-30 24:00:00","",,1.3
"2017-08-30 24:00:00","",,1.5
"2017-09-29 24:00:00","",,1.6
"2017-10-30 24:00:00","",,1.4
"2017-11-29 24:00:00","",,1.5
"2017-12-30 24:00:00","",,1.3
"2018-01-30 24:00:00","",,1.3
"2018-02-27 24:00:00","",,1.1
"2018-03-30 24:00:00","",,1.4
"2018-04-29 24:00:00","",,1.2
"2018-05-30 24:00:00","",,2
"2018-06-29 24:00:00","",,2
"2018-07-30 24:00:00","",,2.2
"2018-08-30 24:00:00","",,2.1
"2018-09-29 24:00:00","",,2.1
"2018-10-30 24:00:00","",,2.3
"2018-11-29 24:00:00","",,1.9
"2018-12-30 24:00:00","",,1.5
"2019-01-30 24:00:00","",,1.4
"2019-02-27 24:00:00","",,1.5
"2019-03-30 24:00:00","",,1.4
"2019-04-29 24:00:00","",,1.7
"2019-05-30 24:00:00","",,1.2
"2019-06-29 24:00:00","",,1.3
"2019-07-30 24:00:00","",,1
"2019-08-30 24:00:00","",,1
"2019-09-29 24:00:00","",,0.9
